어떵 살아 점수꽈? 펜안 해수꽈?,어떻게 살고 있습니까? 편안 하십니까?
무싱거엔 고람쑤꽈? 귀 눈이 왁왁하우다.,무엇이라고 말하십니까? 귀와 눈이 캄캄합니다.
맨도롱 혼때 호로록 들여 싸 붑써,따뜻할 때 후루룩 잡수십시오
무싱 걸 몽캐미꽈? 혼저 옵서게,뭘 그리 늦장 부리십니까? 빨리 오십시오
"왕 봅서, 고랑은 몰라 마씀","와서 보십시오,말로 해서는 모릅니다"
곱들락 호게 몬뜰락 벗엉 옵서,아름답게 모조리 벗어서 오십시오
어디 갔당 왐수꽈? 어드레 감수꽈?,어디 갔다가 오십니까? 어디로 가십니까?
"둥그리멍 키웁서, 경 해사 혼저 큽니다.",고생시키면서 키웁십시오.그래야 빨리 자랍니다
"어떵 살코, 저들지 맙서, 촘앙 살민 살아집니다","어떻게 살까,걱정 마십시오.참고 살면 살수 있습니다"
느영 나영 두리둥실 소랑호게 마씸,너하고 나하고 둘이 둥실 사랑합시다
독수리,똥소레기
돼지,도새기
강아지,강생이
망아지,몽생이
억새,어묵
병아리,빙애기
새,생이
노루,노리
고양이,고냉이
서둘리지마,와리지 말라
기분 좋아?,지꺼지냐?
나무,낭
어디 가세요?,어드러 감수광
어서 오세요,혼저 홉써에
어디가?,어디가맨?
왜? ,무사?
수고했어,속아수다
빨리빨리,재기재기
딸,똘
그렇게,그추룩
빨리오세요,혼저옵서
많이보세요,하영봅서
갔다오세요,강옵서
쉬어서 가세요,쉬영갑서
좋습니까,좋쑤과
알았습니다,알았수다
어디서 오셨습니까,어디서 옵데가?
여보세요,날봅서
계십니까?,이쑤꽈?
예 어서오십시요,예 어서 옵써
많이 파십시오,많이 팝서
다시 오겠습니다,다시 오쿠다 양
가느냐?,감시냐?
오라고 하느냐?,오라시냐?
갔느냐?,가시냐?
어디 가십니까?,어디 감수꽈?
내일 오시겠습니까?,낼 오쿠꽈?
언제 오시겠습니까?,어느제 오쿠과
놀다가 가십시오,놀당 갑서양
매우 수고하셨습니다,폭싹 속았수다
여기예. 이거 키로에 얼마마씨?,여기요. 이거 1kg에 얼마예요?
사천원마씨.,사천원입니다.
기꽝? 사천원치 줍서. 하영줍서예.,그래요? 사천원어치주세요. 많이주세요.
많이 담암수다양. 맛있게 드십써 양.,많이 드립니다. 맛있게 드세요.
삼성혈가잰하는디예. 어디로 가면 되마씨?,삼성혈에 가려는데요. 어디로 가면 되지요?
거기마씨? 여기서 10분만 밑트레강 칼호텔조끄티서 바로 왼펜돌아가민 되우다.,거기요? 여기서 10분 밑으로가서 칼호텔 근처에서 돌아서 왼쪽으로 가면 됩니다.
"알아지쿠가? 거기강 아무으네, 아무사람이나 잡앙 물어보민 잘 말해 줄꺼우다.",알겠어요? 거기가서 아므사람이나 물어보면 잘 말해 줄꺼예요.
관광잘행 갑써예.,관광 잘하고 가세요.
혼저 옵서. 제주도 사투리로 말 호난,어서 오십시오.  제주도 사투리로 말 하니까.
무신거랜 고람 신지 몰르쿠게?,뭐라고 말하는지 모르겠지요?
"게메 마씀, 귀 눈이 왁왁하우다.",글세 말입니다. 귀와 눈이 캄캄합니다.
경해도 고만히 생각호멍 들으민 호끔씩 알아집니다.,그래도 가만히 생각하며 들어면 조금씩 알 게 됩니다.
오랜만이우다. 몸은 펜안 하우꽈?,오랜만이예요. 편안하십니까?
얼굴이 펜안해 보염수다.,얼굴이 좋아보이네요.
혼저옵서예.,어서오세요.
제주도 오잰하난 폭삭 속아수다.,제주도 오느라 수고하셨어요.
제주도오난 촘말로 좋수다. 공기도 좋고,"제주도에 오니까 정말로 좋습니다. 공기도 좋고,"
산이영 바당이영 몬딱 좋은게 마씀.,산이랑 바다랑 모두가 좋습니다.
게메 양. 경 해시민 얼마나 좋코 마씀?,그러게 말입니다. 그렇게 했으면 얼마나 좋겠습니까?
"안트레 들어 왕, 밥 먹엉 갑서.","안으로 들어 오셔서, 식사 하고 가십시오."
맨도롱 했수과?,따뜻합니까?
